Region,Region Code,State,State Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2008,2008,Suppressed,239823,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2009,2009,0,230386,0,0,0,0
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2010,2010,Suppressed,220385,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2011,2011,Suppressed,211833,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2012,2012,Suppressed,208589,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2013,2013,Suppressed,208218,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2014,2014,Suppressed,209784,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2015,2015,Suppressed,212742,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2016,2016,Suppressed,215992,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2017,2017,Suppressed,219338,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2018,2018,Suppressed,222990,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2019,2019,Suppressed,225591,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2020,2020,Suppressed,227145,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2021,2021,Suppressed,231752,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,1999,1999,Suppressed,286444,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2000,2000,Suppressed,290915,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2001,2001,Suppressed,295329,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2002,2002,Suppressed,296765,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2003,2003,Suppressed,295708,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2004,2004,Suppressed,295746,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2005,2005,Suppressed,292554,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2006,2006,Suppressed,287782,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2007,2007,Suppressed,280423,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2008,2008,Suppressed,274541,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2009,2009,Suppressed,266135,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2010,2010,Suppressed,260586,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2011,2011,Suppressed,256350,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2012,2012,Suppressed,250287,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2013,2013,Suppressed,242297,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2014,2014,Suppressed,232726,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2015,2015,Suppressed,222588,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2016,2016,Suppressed,213430,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2017,2017,Suppressed,209937,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2018,2018,Suppressed,209831,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2019,2019,Suppressed,212056,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2020,2020,Suppressed,215472,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,40-44 years,40-44,2021,2021,Suppressed,220639,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,45-49 years,45-49,1999,1999,Suppressed,246896,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,45-49 years,45-49,2000,2000,Suppressed,254260,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,45-49 years,45-49,2001,2001,Suppressed,262459,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,45-49 years,45-49,2002,2002,Suppressed,270509,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,45-49 years,45-49,2003,2003,Suppressed,278447,Suppressed,Suppressed,Suppressed,Suppressed
